wd_id,word,lex_id,para_id,ch_id,verse_id,syntag,syntag2,lemma,syllabified
1,Uns,uns,1,1,1,QIs,QIs,un,/V\
2,bérs,bers,1,1,1,N,N,baron,C/V\
3,fu,fu,1,1,1,Vfin,Vfin,être,C/V\
4,j́a,ja,1,1,1,Adv,Adv,jà,C/V\
5,en,en,1,1,1,Pre,Pre,en,/V\
6,l',l',1,1,1,Det,Det,le,C/\
7,antif,antif,1,1,1,Adj,Adj,antif,/V\.'C/V\
8,pople,pople,1,1,1,N,N,peuple,'C/V\.C/(e)\
9,Deu,deu,1,1,1,N,N,dieu,C/V\
10,é,e,1,1,1,Crd,Crd,et,/V\
11,out,out,1,1,1,Vfin,Vfin,avoir,/V\
12,num,num,1,1,1,N,N,nom,C/V\
13,Helcana,helcana,1,1,1,N,N,Elkana,/V\.C/V\.'C/V\
14,.,.,1,1,1,Pnc,Pnc,.,
15,Fiz,fiz,1,1,1,N,N,fils,C/V\
16,fud,fud,1,1,1,Vfin,Vfin,être,C/V\
17,Jeroboam,jeroboam,1,1,1,N,N,Jéroboam,C/V\.C/V\.C/V\.'C/V\
18,",",",",1,1,1,Pnc,Pnc,",",
19,le,le,1,1,1,Det,Det,le,C/(e)\
20,fiz,fiz,1,1,1,N,N,fils,C/V\
21,Heliúd,heliud,1,1,1,N,N,Élihu,/V\.C/V\.'C/V\
22,",",",",1,1,1,Pnc,Pnc,",",
23,le,le,1,1,1,Det,Det,le,C/(e)\
24,fiz,fiz,1,1,1,N,N,fils,C/V\
25,Thaü,thau,1,1,1,N,N,Thohu,C/V\
26,",",",",1,1,1,Pnc,Pnc,",",
27,le,le,1,1,1,Det,Det,le,C/(e)\
28,fiz,fiz,1,1,1,N,N,fils,C/V\
29,Suf,suf,1,1,1,N,N,Tsuph,C/V\
30,;,;,1,1,1,Pnc,Pnc,;,
31,é,e,1,1,1,Crd,Crd,et,/V\
32,fud,fud,1,1,1,Vfin,Vfin,être,C/V\
33,de,de,1,1,1,Pre,Pre,de,C/(e)\
34,Effratá,effrata,1,1,1,N,N,Ephrata,/V\.C/V\.'C/V\
35,(,(,1,1,1,Pnc,Pnc,(,
36,si,si,1,1,1,Adv,Adv,si4,C/V\
37,cum,cum,1,1,1,Sub,Sub,comme,C/V\
38,li,li,1,1,1,Det,Det,le,C/V\
39,alquant,alquant,1,1,1,Prn,Prn,auquant,/V\.'C/V\
40,entendent,entendent,1,1,1,Vfin,Vfin,entendre,/V\.'C/V\.C/e\
41,:,:,1,1,1,Pnc,Pnc,:,
42,de,de,1,1,1,Pre,Pre,de,C/(e)\
43,la,la,1,1,1,Det,Det,le,C/V\
44,cite,cité,1,1,1,N,N,cité,C/V\.'C/V\
45,ki,ki,1,1,1,Qux,Qux,qui,C/V\
46,puis,puis,1,1,1,PrA,PrA,puis,C/V\
47,fud,fud,1,1,1,Vfin,Vfin,être,C/V\
48,apeléé,apelee,1,1,1,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./(e)\
49,Bethléém,bethleem,1,1,1,N,N,Bethléem,C/V\.C/(V)\.'/V\
50,),),1,1,1,Pnc,Pnc,),
51,.,.,1,1,1,Pnc,Pnc,.,
52,É,e,1,1,1,Crd,Crd,et,/V\
53,mest,mest,1,1,1,Vfin,Vfin,manoir2,C/V\
54,al,al,1,1,1,Pre+Det,Pre+Det,à.le,/V\
55,munt,munt,1,1,1,N,N,mont,C/V\
56,de,de,1,1,1,Pre,Pre,de,C/(e)\
57,Effraïm,effraim,1,1,1,N,N,Ephraïm,/V\.C/V\.'C/V\
58,en,en,1,1,1,Pre,Pre,en,/V\
59,une,une,1,1,1,QIs,QIs,un,'/V\.C/(e)\
60,cite,cité,1,1,1,N,N,cité,C/V\.'C/V\
61,ki,ki,1,1,1,Qux,Qux,qui,C/V\
62,fud,fud,1,1,1,Vfin,Vfin,être,C/V\
63,apeléé,apelee,1,1,1,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./(e)\
64,Ramathaïm,ramathaim,1,1,1,N,N,Ramathaim,C/V\.C/V\.C/V\.'C/V\
65,-,-,1,1,1,Pnc,Pnc,-,
66,Sophim,sophim,1,1,1,N,N,Zophim,C/V\.'C/V\
67,",",",",1,1,1,Pnc,Pnc,",",
68,ki,ki,1,1,1,Qux,Qux,qui,C/V\
