wd_id,word,lex_id,para_id,ch_id,verse_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,Uns,uns,1,1,1,QIs,QIs,un,/V\,DET,un,10,,
2,bérs,bers,1,1,1,N,N,,C/V\,NOUN,baron,0,,
3,fu,fu,1,1,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
4,j́a,ja,1,1,1,Adv,Adv,jà,C/V\,ADV,jà,10,,
5,en,en,1,1,1,Pre,Pre,en,/V\,ADP,en,10,,
6,l',l',1,1,1,Det,Det,le,C/\,DET,le,10,,
7,antif,antif,1,1,1,Adj,Adj,,/V\.'C/V\,ADJ,antif,9,,
8,pople,pople,1,1,1,N,N,,'C/V\.C/(e)\,NOUN,peuple,8,,
9,Deu,deu,1,1,1,N,N,,C/V\,PROPN,Dieu,3,,
10,é,e,1,1,1,Crd,Crd,et,/V\,CCONJ,et,10,,
11,out,out,1,1,1,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
12,num,num,1,1,1,N,N,,C/V\,NOUN,nom,8,,
13,Helcana,helcana,1,1,1,N,N,,/V\.C/V\.'C/V\,PROPN,Helcana,-10,Helcana,Name
14,.,.,1,1,1,Pnc,Pnc,,,PUNCT,.,9,,
15,Fiz,fiz,1,1,1,N,N,,C/V\,NOUN,fils,8,,
16,fud,fud,1,1,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
17,Jeroboam,jeroboam,1,1,1,N,N,,C/V\.C/V\.C/V\.'C/V\,PROPN,Jérobem,-10,Jérobam,DMF
18,",",",",1,1,1,Pnc,Pnc,,,PUNCT,",",9,,
19,le,le,1,1,1,Det,Det,le,C/(e)\,DET,le,10,,
20,fiz,fiz,1,1,1,N,N,,C/V\,NOUN,fils,8,,
21,Heliúd,heliud,1,1,1,N,N,,/V\.C/V\.'C/V\,PROPN,Elid,-10,Elid,Name
22,",",",",1,1,1,Pnc,Pnc,,,PUNCT,",",9,,
23,le,le,1,1,1,Det,Det,le,C/(e)\,DET,le,10,,
24,fiz,fiz,1,1,1,N,N,,C/V\,NOUN,fils,8,,
25,Thaü,thau,1,1,1,N,N,,C/V\,PROPN,thau,2,,
26,",",",",1,1,1,Pnc,Pnc,,,PUNCT,",",9,,
27,le,le,1,1,1,Det,Det,le,C/(e)\,DET,le,10,,
28,fiz,fiz,1,1,1,N,N,,C/V\,NOUN,fils,8,,
29,Suf,suf,1,1,1,N,N,,C/V\,PROPN,Suf,-10,Suf,Name
30,;,;,1,1,1,Pnc,Pnc,,,PUNCT,;,9,,
31,é,e,1,1,1,Crd,Crd,et,/V\,CCONJ,et,10,,
32,fud,fud,1,1,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
33,de,de,1,1,1,Pre,Pre,de,C/(e)\,ADP,de,10,,
34,Effratá,effrata,1,1,1,N,N,,/V\.C/V\.'C/V\,PROPN,Effrat,-10,Effrat,Stadt?
35,(,(,1,1,1,Pnc,Pnc,,,PUNCT,(,9,,
36,si,si,1,1,1,Adv,Adv,si4,C/V\,ADV,si,10,,
37,cum,cum,1,1,1,Sub,Sub,comme,C/V\,SCONJ,comme,10,,
38,li,li,1,1,1,Det,Det,le,C/V\,DET,le,10,,
39,alquant,alquant,1,1,1,Prn,Prn,auquant,/V\.'C/V\,PRON,auquant,10,,
40,entendent,entendent,1,1,1,Vfin,Vfin,entendre,/V\.'C/V\.C/e\,VERB,entendre,10,,
41,:,:,1,1,1,Pnc,Pnc,,,PUNCT,:,9,,
42,de,de,1,1,1,Pre,Pre,de,C/(e)\,ADP,de,10,,
43,la,la,1,1,1,Det,Det,le,C/V\,DET,le,10,,
44,cite,cité,1,1,1,N,N,,C/V\.'C/V\,NOUN,cité,8,,
45,ki,ki,1,1,1,Qux,Qux,qui,C/V\,PRON,qui,10,,
46,puis,puis,1,1,1,PrA,PrA,puis,C/V\,ADV,puis,10,,
47,fud,fud,1,1,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
48,apeléé,apelee,1,1,1,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./(e)\,VERB,appeler,10,,
49,Bethléém,bethleem,1,1,1,N,N,,C/V\.C/(V)\.'/V\,PROPN,Bethléem,0,,
50,),),1,1,1,Pnc,Pnc,,,PUNCT,),9,,
51,.,.,1,1,1,Pnc,Pnc,,,PUNCT,.,9,,
52,É,e,1,1,1,Crd,Crd,et,/V\,CCONJ,et,10,,
53,mest,mest,1,1,1,Vfin,Vfin,manoir2,C/V\,VERB,manoir,10,,
54,al,al,1,1,1,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
55,munt,munt,1,1,1,N,N,,C/V\,NOUN,mont,9,,
56,de,de,1,1,1,Pre,Pre,de,C/(e)\,ADP,de,10,,
57,Effraïm,effraim,1,1,1,N,N,,/V\.C/V\.'C/V\,PROPN,Effraïm,-10,Ephraïm,DMF
58,en,en,1,1,1,Pre,Pre,en,/V\,ADP,en,10,,
59,une,une,1,1,1,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,,
60,cite,cité,1,1,1,N,N,,C/V\.'C/V\,NOUN,cité,8,,
61,ki,ki,1,1,1,Qux,Qux,qui,C/V\,PRON,qui,10,,
62,fud,fud,1,1,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
63,apeléé,apelee,1,1,1,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./(e)\,VERB,appeler,10,,
64,Ramathaïm,ramathaim,1,1,1,N,N,,C/V\.C/V\.C/V\.'C/V\,PROPN,Ramatham,-10,Ramathaim,Ramathaim-Zophim - Wikipedia 
65,-,-,1,1,1,Pnc,Pnc,,,PUNCT,-,9,,
66,Sophim,sophim,1,1,1,N,N,,C/V\.'C/V\,PROPN,Sophim,-10,Zophim,Ramathaim-Zophim - Wikipedia 
67,",",",",1,1,1,Pnc,Pnc,,,PUNCT,",",9,,
68,ki,ki,1,1,1,Qux,Qux,qui,C/V\,PRON,qui,10,,
69,puis,puis,1,1,1,PrA,PrA,puis,C/V\,ADV,puis,10,,
70,fud,fud,1,1,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
71,apeléé,apelee,1,1,1,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./(e)\,VERB,appeler,10,,
72,Arimathie,arimathie,1,1,1,N,N,,/V\.C/V\.C/V\.'C/V\./(e)\,PROPN,Arimatie,6,,
73,",",",",1,1,1,Pnc,Pnc,,,PUNCT,",",9,,
74,dunt,dunt,1,1,1,Qux,Qux,dont,C/V\,PRON,dont,10,,
75,fud,fud,1,1,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
76,li,li,1,1,1,Det,Det,le,C/V\,DET,le,10,,
77,bonurez,bonurez,1,1,1,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,bonheuré,0,,
78,Joseph,joseph,1,1,1,N,N,,C/V\.'C/V\,PROPN,Joseph,8,,
79,",",",",1,1,1,Pnc,Pnc,,,PUNCT,",",9,,
80,ki,ki,1,1,1,Qux,Qux,qui,C/V\,PRON,qui,10,,
81,le,le,1,1,1,Det,Det,le,C/(e)\,DET,le,10,,
82,precius,precius,1,1,1,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,précieux,0,,
83,cors,cors,1,1,1,N,N,,C/V\,NOUN,corps,3,,
84,Jesu,jesu,1,1,1,N,N,,C/V\.'C/V\,PROPN,Jésus,9,,
85,-,-,1,1,1,Pnc,Pnc,,,PUNCT,-,9,,
86,Crist,crist,1,1,1,N,N,,C/V\,NOUN,christ,3,,
87,mist,mist,1,1,1,Vfin,Vfin,mettre,C/V\,VERB,mettre,10,,
88,el,el,1,1,1,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10,,
89,sepulcre,sepulcre,1,1,1,N,N,,C/V\.'C/V\.C/(e)\,NOUN,sépulcre,9,,
90,.,.,1,1,1,Pnc,Pnc,,,PUNCT,.,9,,
91,Cist,cist,1,1,1,Dem,Dem,cist,C/V\,DET,cist,10,,
92,bers,bers,1,1,1,N,N,,C/V\,NOUN,baron,3,,
93,Helchana,helchana,1,1,1,N,N,,/V\.C/V\.'C/V\,PROPN,Helchana,-10,Helcana,Name
94,fud,fud,1,1,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
95,del,del,1,1,1,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
96,lignage,lignage,1,1,1,N,N,,C/V\.'C/V\.C/(e)\,NOUN,lignage,9,,
97,as,as,1,1,1,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
98,ordenez,ordenez,1,1,1,Vpp,Vpp,,/V\.C/e\.'C/V\,VERB,ordonner,9,,
99,Deu,deu,1,1,1,N,N,,C/V\,PROPN,Dieu,3,,
100,de,de,1,1,1,Pre,Pre,de,C/(e)\,ADP,de,10,,
101,part,part,1,1,1,N,N,,C/V\,NOUN,part,3,,
102,pere,pere,1,1,1,N,N,,'C/V\.C/(e)\,NOUN,père,3,,
103,é,e,1,1,1,Crd,Crd,et,/V\,CCONJ,et,10,,
104,de,de,1,1,1,Pre,Pre,de,C/(e)\,ADP,de,10,,
105,lignage,lignage,1,1,1,N,N,,C/V\.'C/V\.C/(e)\,NOUN,lignage,9,,
106,real,real,1,1,1,Adj,Adj,,C/V\.'C/V\,ADJ,royal,3,,
107,de,de,1,1,1,Pre,Pre,de,C/(e)\,ADP,de,10,,
108,part,part,1,1,1,N,N,,C/V\,NOUN,part,3,,
109,mere,mere,1,1,1,N,N,,'C/V\.C/(e)\,NOUN,mère,3,,
110,.,.,1,1,1,Pnc,Pnc,,,PUNCT,.,9,,
111,Muilliers,muilliers,1,1,2,N,N,,C/V\.'C/V\,NOUN,moillier,0,,
112,out,out,1,1,2,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
113,dous,dous,1,1,2,QIs,QIs,deux,C/V\,NUM,deux,10,,
114,;,;,1,1,2,Pnc,Pnc,,,PUNCT,;,9,,
115,la,la,1,1,2,Det,Det,le,C/V\,DET,le,10,,
116,plus,plus,1,1,2,Adv,Adv,plus,C/V\,ADV,plus,10,,
117,noble,noble,1,1,2,Adj,Adj,noble,'C/V\.C/(e)\,ADJ,noble,10,,
118,fud,fud,1,1,2,Vfin,Vfin,être,C/V\,VERB,être,10,,
119,claméé,clamee,1,1,2,Vpp,Vpp,clamer,C/V\.'C/V\./(e)\,VERB,clamer,10,,
120,Anna,annä,1,1,2,N,N,,'/V\.C/(e)\,PROPN,Anna,6,,
121,é,e,1,1,2,Crd,Crd,et,/V\,CCONJ,et,10,,
122,l',l',1,1,2,Det,Det,le,C/\,DET,le,10,,
123,altre,altre,1,1,2,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10,,
124,Phenenna,phenennä,1,1,2,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Phenanna,-10,Phenenna,Name
125,.,.,1,1,2,Pnc,Pnc,,,PUNCT,.,9,,
126,Phenenna,phenennä,1,1,2,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Phenanna,-10,Phenenna,Name
127,out,out,1,1,2,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
128,enfanz,enfanz,1,1,2,N,N,,/V\.'C/V\,NOUN,enfant,8,,
129,plusurs,plusurs,1,1,2,QIs,QIs,plusieurs,C/V\.'C/V\,ADJ,plusieurs,10,,
130,",",",",1,1,2,Pnc,Pnc,,,PUNCT,",",9,,
131,mais,mais,1,1,2,Crd,Crd,mais,C/V\,CCONJ,mais,10,,
132,Anna,annä,1,1,2,N,N,,'/V\.C/(e)\,PROPN,Anna,6,,
133,n',n',1,1,2,Neg,Neg$$,ne,C/\,ADV,ne,10,,
134,en,en,1,1,2,Prn,Prn$$,en2,/V\,PRON,en,10,,
135,out,out,1,1,2,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
136,nul,nul,1,1,2,QIs,QIs,nul,C/V\,PRON,nul,10,,
137,.,.,1,1,2,Pnc,Pnc,,,PUNCT,.,9,,
138,Bien,bien,1,1,2,Adv,Adv,bien,C/V\,ADV,bien,10,,
139,lut,lut,1,1,2,Vfin,Vfin,lire,C/V\,VERB,lire,10,,
140,en,en,1,1,2,Pre,Pre,en,/V\,ADP,en,10,,
141,la,la,1,1,2,Det,Det,le,C/V\,DET,le,10,,
142,vielz,vielz,1,1,2,Adj,Adj,vieux,C/V\,ADJ,vieux,10,,
143,lei,lei,1,1,2,N,N,,C/V\,NOUN,loi,3,,
144,que,que,1,1,2,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
145,li,li,1,1,2,Det,Det,le,C/V\,DET,le,10,,
146,ordenez,ordenez,1,1,2,Vpp,Vpp,,/V\.C/e\.'C/V\,VERB,ordonner,8,,
147,oüssent,oussent,1,1,2,Vfin,Vfin,avoir,/(V)\.'/V\.C/e\,VERB,avoir,10,,
148,od,od,1,1,2,Pre,Pre,o,/V\,ADP,o,10,,
149,cumpáigne,cumpaigne,1,1,2,N,N,,C/V\.'C/V\.C/(e)\,NOUN,compagne,0,,
150,cunversement,cunversement,1,1,2,N,N,,C/V\.C/V\.C/e\.'C/V\,PROPN|NOUN,UNKNOWN,-10,versement,DMF
151,.,.,1,1,2,Pnc,Pnc,,,PUNCT,.,9,,
152,Kar,kar,1,1,2,Crd,Crd,car,C/V\,CCONJ,car,10,,
153,des,des,1,1,2,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
